,audio_path,transcripts,tag
0,segments_16k/AmiwQbH98ko_00179604_00179888.wav,là chúng ta sẽ ở mùa hạ nắng chói chang liền,Yes
1,segments_16k/AmiwQbH98ko_00182104_00182310.wav,ê sao mình mở ra mất tiêu rồi,Yes
2,segments_16k/AmiwQbH98ko_00188224_00188314.wav,có được không vậy,Yes
3,segments_16k/AmiwQbH98ko_00188688_00188876.wav,cuối cùng cũng đã hết ba tiếng rồi nè,Yes
4,segments_16k/AmiwQbH98ko_00192182_00192462.wav,máy nguyện vọng thực tại,Yes
5,segments_16k/AmiwQbH98ko_00204814_00205006.wav,thì nó cũng biến điều đó thành hiện thực hết á,Yes
6,segments_16k/AmiwQbH98ko_00205636_00206019.wav,vừa rồi mình mới thử xin một cái bánh rán để coi thử máy hoạt động như thế nào,Yes
7,segments_16k/AmiwQbH98ko_00206184_00206517.wav,nhưng mình không biết sẽ có được cái bánh rán bằng cách nào nữa đây,Yes
8,segments_16k/AmiwQbH98ko_00207230_00207340.wav,là bánh rán,Yes
9,segments_16k/AmiwQbH98ko_00209152_00209519.wav,nhưng mà cái bánh này to như vậy làm sao anh ăn một mình được chứ,Yes
10,segments_16k/AmiwQbH98ko_00227208_00227396.wav,cái máy này khó điều khiển lắm đó,Yes
11,segments_16k/AmiwQbH98ko_00233550_00233728.wav,cậu mau giải quyết chuyện này nhanh lên,Yes
12,segments_16k/AmiwQbH98ko_00238867_00239148.wav,nếu cậu chịu nghe lời mình thì đâu có gây ra rắc rối như vậy đâu,Yes
13,segments_16k/AmiwQbH98ko_00261178_00261348.wav,vậy quá tốt rồi còn gì nữa,Yes
14,segments_16k/AmiwQbH98ko_00261348_00261523.wav,bình thường cậu toàn bị cho ra rìa,Yes
15,segments_16k/AmiwQbH98ko_00263160_00263306.wav,chủ yếu là tấm lòng thôi à,Yes
16,segments_16k/AmiwQbH98ko_00267092_00267316.wav,vậy cậu thích tặng cái gì cho suneo nè,Yes
17,segments_16k/AmiwQbH98ko_00276746_00276858.wav,được rồi,Yes
18,segments_16k/AmiwQbH98ko_00276858_00277058.wav,vậy chúng ta hãy thử hỏi suneo nha,Yes
19,segments_16k/AmiwQbH98ko_00279954_00280210.wav,máy sẽ tự động phân tích gen di truyền trong tóc,Yes
20,segments_16k/AmiwQbH98ko_00280210_00280512.wav,và chúng ta sẽ biết được tính cách cũng như suy nghĩ của đối tượng,Yes
21,segments_16k/AmiwQbH98ko_00282012_00282216.wav,là những người làm việc trên thuyền á,Yes
22,segments_16k/AmiwQbH98ko_00310530_00310738.wav,dù gì đó cũng là sinh nhật của cậu ấy,Yes
23,segments_16k/AmiwQbH98ko_00320702_00320854.wav,mình cũng muốn tặng quà cho cậu,Yes
24,segments_16k/AmiwQbH98ko_00320854_00320974.wav,cậu muốn tặng cái gì nè,Yes
25,segments_16k/AmiwQbH98ko_00333554_00333814.wav,thôi được rồi để mình kiểm tra tình hình xem sao,Yes
26,segments_16k/AmiwQbH98ko_00406062_00407434.wav,mình mình xin lỗi cậu nha nobita mình quên nói với cậu là sàn nhà vẫn còn trơn nên cậu mới bị té để trở lại như cũ mình phải ấn nút cộng rồi chà đi chà lại mấy lần nữa mới xong thiệt tình sao cậu không chịu nói sớm hơn,No
27,segments_16k/AmiwQbH98ko_00427646_00427838.wav,thật ra cũng không tới nổi,Yes
28,segments_16k/AmiwQbH98ko_00454550_00454762.wav,đó là đơn vị tiền tệ ngày xưa đó,Yes
29,segments_16k/AmiwQbH98ko_00455130_00455360.wav,có nghĩa là một trăm hào bằng một yên á,Yes
30,segments_16k/AmiwQbH98ko_00456088_00456352.wav,suy ra một yên sẽ bằng một ngàn linh,Yes
31,segments_16k/AmiwQbH98ko_00456352_00456756.wav,mà hồi đó đất nước của chúng ta từng có thời mua bánh kẹo chỉ với một linh thôi,Yes
32,segments_16k/AmiwQbH98ko_00457160_00457342.wav,thì cậu sẽ trở thành triệu phú chứ sao,Yes
33,segments_16k/AmiwQbH98ko_00463118_00463356.wav,tính ra là bằng một phần ngàn của ba mươi lăm yên đó,Yes
34,segments_16k/AmiwQbH98ko_00467935_00468170.wav,ý mà khoan một yên ở trong thế giới này thì,Yes
35,segments_16k/oHa6LlO0hO8_00020220_00020360.wav,cái tốt nhất của một trăm mười ngàn,Yes
36,segments_16k/oHa6LlO0hO8_00032668_00032918.wav,bạn phải cắt dán cho thật cẩn thận đó,Yes
37,segments_16k/oHa6LlO0hO8_00034198_00034440.wav,cái chỗ nào xếp vào trong hay đưa ra ngoài,Yes
38,segments_16k/oHa6LlO0hO8_00036082_00036166.wav,nobita,Yes
39,segments_16k/oHa6LlO0hO8_00036450_00036540.wav,nobita,Yes
40,segments_16k/oHa6LlO0hO8_00039810_00040096.wav,mình rất bất ngờ vì sự cố gắng của bạn đó nobita,Yes
41,segments_16k/oHa6LlO0hO8_00043178_00043376.wav,nếu mà nó ướt là nó bị rách liền á,Yes
42,segments_16k/oHa6LlO0hO8_00043958_00044178.wav,mình sẽ dùng đèn pin thu nhỏ nó lại,Yes
43,segments_16k/oHa6LlO0hO8_00044680_00044894.wav,mình sẽ đem nó ra ngọn núi phía sau trường,Yes
44,segments_16k/oHa6LlO0hO8_00053326_00053591.wav,bạn thử nhấn cái nút đỏ ở bên cạnh cửa sổ đi,Yes
45,segments_16k/oHa6LlO0hO8_00054041_00054300.wav,tấm lọc ảo ảnh đã được tháo ra rồi,Yes
46,segments_16k/oHa6LlO0hO8_00054300_00054498.wav,bạn nhìn lại thử coi có gì khác không,Yes
