audio_path,transcripts,tag
segments_16k/R5aLRIu3Sxs_00099222_00099496.wav,shizuka đừng có bắt chước nobita hù mình,Yes
segments_16k/R5aLRIu3Sxs_00112730_00112948.wav,nè nobita cậu làm gì mà lâu quá vậy,Yes
segments_16k/ay2BtyvXx7o_00008942_00009176.wav,cứ năm phút cái bánh sẽ tự nhân đôi một lần,Yes
segments_16k/ay2BtyvXx7o_00009490_00009804.wav,năm phút tiếp theo nó sẽ được thành bốn cái bánh,Yes
segments_16k/ay2BtyvXx7o_00013024_00013262.wav,nếu mà chờ năm phút mình ăn bánh rán còn hơn,Yes
segments_16k/ay2BtyvXx7o_00030594_00030792.wav,là bốn ngàn không trăm chín mươi sáu cái,Yes
segments_16k/ay2BtyvXx7o_00031336_00031516.wav,tiếp theo chỉ mười lăm phút sau thôi,Yes
segments_16k/ay2BtyvXx7o_00032220_00032530.wav,rồi bốn tiếng sau sẽ là hai trăm tám mươi mốt ngàn tỷ,Yes
segments_16k/ay2BtyvXx7o_00035316_00035588.wav,thì bánh bao nhân đường sẽ hủy diệt toàn nhân loại này cho mà coi,Yes
segments_16k/wMVps4uajdU_00014672_00014913.wav,nhưng mà không dùng để quay băng mà là quay thời gian,Yes
segments_16k/wMVps4uajdU_00016163_00016468.wav,cậu quay một vòng là thời gian chỉ mới qua được một phút thôi,Yes
segments_16k/wMVps4uajdU_00028542_00028744.wav,sao cậu quay thời gian cho mình cậu thôi vậy,Yes
segments_16k/wMVps4uajdU_00046988_00047166.wav,đây không phải là quà sinh nhật ba tặng,No
segments_16k/wMVps4uajdU_00056708_00056824.wav,thôi trả lại cho mình,Yes
segments_16k/JRRVRUzgioE_00024408_00024656.wav,cứ tiếp tục cố gắng như vậy trong nửa năm đi nha,Yes
segments_16k/JRRVRUzgioE_00027312_00027542.wav,nhưng mà nếu cậu dùng cách này thì hơi bị,Yes
segments_16k/JRRVRUzgioE_00031522_00031872.wav,ai bảo cậu suốt ngày cứ bỏ đồ đạc lung tung để bây giờ phải đi kiếm,Yes
segments_16k/JRRVRUzgioE_00050392_00050548.wav,tụi mình cùng lắp ráp đi,Yes
segments_16k/JRRVRUzgioE_00056666_00056814.wav,cậu làm như cậu hay lắm vậy đó,Yes
segments_16k/KcsE_ETwLPo_00048338_00048562.wav,chúng ta phải làm vậy để giúp ba chứ,Yes
