filename,duration,whisper_transcripts,distance,transcripts,audio_path
fPJbpckRkgI_00041198_00041934,7.36," Trên đồng cỏ xanh ngát, dưới ánh nắng mặt trời vàng rực, nhìn cả đám bánh kẹo chơi đùa cùng nhau vui ghê!",0.49320876826955656,trên đầu cỏ xanh ngát dưới ánh nắng mặt trời vàng rực nhìn cả đám bánh kẹo chơi đùa cùng nhau vui ghê,segments_16k/fPJbpckRkgI_00041198_00041934.wav
fPJbpckRkgI_00049474_00049730,2.56, Nhất định lũ trộm sẽ quay lại bắt tiếp vào tối nay!,0.4906639828071453,nhất định lũ trộm sẽ quay lại bắt tiếp vào tối nay,segments_16k/fPJbpckRkgI_00049474_00049730.wav
fPJbpckRkgI_00050370_00050608,2.38, Nè! Tới giờ hai đứa mình phải về nhà rồi!,0.4862998519954111,nè tới giờ hai đứa mình phải về nhà rồi,segments_16k/fPJbpckRkgI_00050370_00050608.wav
fPJbpckRkgI_00061720_00061905,1.8600625, Cậu ấy vẫn chưa về tới nhà,0.5044154353514891,cậu ấy vẫn chưa về tới nhà,segments_16k/fPJbpckRkgI_00061720_00061905.wav
fPJbpckRkgI_00064136_00064396,2.6, Chai anh và Sineo mới qua nhà kiếm cậu kìa,0.50529691116613,trai nhà ni mới qua nhà kiếm cậu,segments_16k/fPJbpckRkgI_00064136_00064396.wav
fPJbpckRkgI_00067792_00068130,3.38, Để mình giúp cho tình bạn của cậu với ngọn núi này càng thêm gắn bở nha,0.460479998091951,để mà giúp cho tình bạn của cậu với ngẫu núi này càng thêm gắn bó nha,segments_16k/fPJbpckRkgI_00067792_00068130.wav
fPJbpckRkgI_00069934_00070318,3.84, Từ bây giờ thì cậu và Nguyên ngọn núi này đã có mối liên kết tình cảm với nhau,0.49719144744363253,từ bây giờ thì cậu và nguyên ngọn núi này đã có mối liên kết tình cảm với nhau,segments_16k/fPJbpckRkgI_00069934_00070318.wav
fPJbpckRkgI_00071300_00071620,3.2, Ngọn núi này yêu quý cậu nên đặc biệt làm ra nó cho cậu á,0.49614992086002474,ngọn núi này yêu quý cậu nên đặc biệt là ta nói cho cậu,segments_16k/fPJbpckRkgI_00071300_00071620.wav
fPJbpckRkgI_00082442_00082594,1.52, Dậy đi Nômita,0.4823613319263486,dậy đi đâu đi tám,segments_16k/fPJbpckRkgI_00082442_00082594.wav
fPJbpckRkgI_00091812_00092078,2.66, Bạn bè đã lên tiếng thì hơi quá rồi á,0.5093843214700908,bạn bè đã lên tiếng thì hơi quá rồi,segments_16k/fPJbpckRkgI_00091812_00092078.wav
fPJbpckRkgI_00106066_00106418,3.5200625, Xin ngài hãy giúp tôi dùng phép thuật để bắt Nobita đừng đến ngọn núi này nữa,0.4949763740064684,xin ngày hãy giúp tôi chụp phép thuật để bắt nô bi ta đừng đến ngọn núi này nữa,segments_16k/fPJbpckRkgI_00106066_00106418.wav
fPJbpckRkgI_00116398_00116746,3.48, Đúng là sẽ có những chuyện không may xảy ra trong cuộc sống hằng ngày của cậu thật,0.44861739811904994,đúng là sẽ có những chuyện không may xảy ra trong cuộc sống hằng ngày của cậu,segments_16k/fPJbpckRkgI_00116398_00116746.wav
fPJbpckRkgI_00125361_00125508,1.46, Chơi bóng chày hay á,0.5087847322952992,chơi bóng chạy hay,segments_16k/fPJbpckRkgI_00125361_00125508.wav
fPJbpckRkgI_00131330_00131540,2.1, Bộ quân luyện nhận dạ,0.4843645390426394,bộ huấn luyện nhận,segments_16k/fPJbpckRkgI_00131330_00131540.wav
