filename,duration,whisper_transcripts,distance,transcripts,audio_path
Z3wQunEaMRU_00016232_00016347,1.16, Ở đây để mình lo,0.4398360078643685,ở đây để mình làm,segments_16k/Z3wQunEaMRU_00016232_00016347.wav
Z3wQunEaMRU_00028608_00028810,2.02, Bây giờ đừng có tới gần bảy đứa trọng nữa nha,0.4441276448449347,bây giờ đừng có tới gần mấy đứa cháu nó,segments_16k/Z3wQunEaMRU_00028608_00028810.wav
Z3wQunEaMRU_00030830_00031080,2.5, Cậu nói là một vé cũng không bán được sao,0.3923013075901337,trời nó là một giá cũng không bán được,segments_16k/Z3wQunEaMRU_00030830_00031080.wav
Z3wQunEaMRU_00038070_00038326,2.56, Hôm nay tụi cháu tới để nói chuyện liên quan tới cha anh,0.472936086517046,hôm nay tôi cho tới để nói chuyện liên quan tới xe,segments_16k/Z3wQunEaMRU_00038070_00038326.wav
Z3wQunEaMRU_00047132_00047490,3.58, Mình chỉ ước ngay lúc này có một con bão cuốn qua để cậu ấy không tổ chức nữa,0.4318380185272464,mà chị ơi ngay lúc này có một con bà con qua trời,segments_16k/Z3wQunEaMRU_00047132_00047490.wav
Z3wQunEaMRU_00048186_00048464,2.78, Tụi mình chỉ cần bỏ cái thẻ hình bão này vào là xong,0.36826147139307447,tụi mình chỉ cần bỏ cái thẻ hình bảo này vào là,segments_16k/Z3wQunEaMRU_00048186_00048464.wav
Z3wQunEaMRU_00049520_00049838,3.18, Và một trận gió mạnh sẽ kéo tới khu này vào lúc 5 giờ,0.4344568275490221,và một trận gió mạnh sẽ kéo tay cô này vào lúc tham gia,segments_16k/Z3wQunEaMRU_00049520_00049838.wav
Z3wQunEaMRU_00053317_00053690,3.72, Có lẽ chương trình tối nay của chúng ta đành phải quỷ bỏ thôi à,0.39352903402026024,có lẽ chương trình tối nay của chúng ta đành phải hủy bỏ thôi,segments_16k/Z3wQunEaMRU_00053317_00053690.wav
Z3wQunEaMRU_00056314_00056684,3.7, Chúng ta đành cố gắng gồng mình để nghe những bài hát kinh cụm của Chai Anh thôi,0.44680581444772366,chúng ta đã cố gắng gồng mình để nghe những bài hát tên của của chai,segments_16k/Z3wQunEaMRU_00056314_00056684.wav
Z3wQunEaMRU_00057064_00057358,2.94, Hộp bác sĩ và đồ uống năng lượng rắn đỏ,0.442389406915679,hoặc bác sĩ và đồ uống năng lượng răng,segments_16k/Z3wQunEaMRU_00057064_00057358.wav
Z3wQunEaMRU_00057604_00057848,2.44, Cùng với mặt nạ chóng ma quỷ và đầu cá môi,0.4014115059083712,cùng với mặt nạ chống ma quỷ và đầu cá,segments_16k/Z3wQunEaMRU_00057604_00057848.wav
Z3wQunEaMRU_00057848_00058082,2.34, Tất cả bà bối này sẽ bảo vệ cho chúng ta,0.40329497294060296,tất cả bảo bối này sẽ bảo vệ cho chúng ta,segments_16k/Z3wQunEaMRU_00057848_00058082.wav
Z3wQunEaMRU_00060116_00060394,2.78," Đúng vậy, bây giờ đã quá 5 giờ rồi còn gì",0.43717020443103016,đúng vậy bây giờ đã quá năm giờ rồi còn,segments_16k/Z3wQunEaMRU_00060116_00060394.wav
Z3wQunEaMRU_00061070_00061336,2.66, Anh ấy nói đó là món anh ấy mới sáng chế,0.4454956738312845,anh ấy nói đó là món anh ấy mới sáng chế,segments_16k/Z3wQunEaMRU_00061070_00061336.wav
Z3wQunEaMRU_00064722_00065116,3.94, Đôi khi Nobita cũng dùng não để suy nghĩ,0.37994970596773686,đôi khi nobita cũng dùng não để suy,segments_16k/Z3wQunEaMRU_00064722_00065116.wav
Z3wQunEaMRU_00071290_00071570,2.8, Cậu làm ơn thử suy nghĩ nghiêm túc một lần có được không?,0.402611411782461,có làm thử suy nghĩ cho tốt một lần có được không,segments_16k/Z3wQunEaMRU_00071290_00071570.wav
Z3wQunEaMRU_00071690_00071992,3.02, Cậu cần phải nghiêm túc để xem xét bản thân cậu là ai?,0.43032306278207905,cậu cần phải nghiêm túc để xem xét bản thân cậu là,segments_16k/Z3wQunEaMRU_00071690_00071992.wav
Z3wQunEaMRU_00072874_00073236,3.62, Tìm thấy một con đường tương lai phơi phơi mở ra trước mặt cậu,0.4612599029568546,tìm thêm một con đường tương lai phơi phơi mở ra trước mặt cậu,segments_16k/Z3wQunEaMRU_00072874_00073236.wav
Z3wQunEaMRU_00076648_00076964,3.1600625, Trong mỗi một cái đĩa này có chứa một khả năng đặc biệt của con người,0.3906251735376993,trong mỗi một cái đĩa này có chứa một khả năng đặc biệt của con người,segments_16k/Z3wQunEaMRU_00076648_00076964.wav
Z3wQunEaMRU_00078790_00079118,3.28, Bây giờ cậu đã có khả năng chạy giống như một vận động viên điên kinh rồi,0.44433201320376065,bây giờ cô đã có khả năng chạy giống như một vận động viên điền kinh,segments_16k/Z3wQunEaMRU_00078790_00079118.wav
4EIG2QCbioE_00009154_00009444,2.9, Mình đã dùng hồ hợp thể để hợp thể với con chó nè,0.41961129610377834,mình đã dùng hồ hợp thể để hợp thể với con chó nè,segments_16k/4EIG2QCbioE_00009154_00009444.wav
4EIG2QCbioE_00010036_00010318,2.82, Cậu sẽ biến thành nó và có được đặc tính của cậu và nó,0.39905967436112544,cậu sẽ biến thành nó và có được đặc tính của cậu dành nó,segments_16k/4EIG2QCbioE_00010036_00010318.wav
4EIG2QCbioE_00011208_00011334,1.26, Cậu đi theo mình đi nè,0.4004963024815553,cậu đi theo mình đi nè,segments_16k/4EIG2QCbioE_00011208_00011334.wav
4EIG2QCbioE_00015160_00015428,2.68, Đó là bởi vì chúng ta đang bay trên một đường thẳng đó,0.4315337937695588,đó là bởi vì chúng ta đang bay trên một đường thẳng đó,segments_16k/4EIG2QCbioE_00015160_00015428.wav
4EIG2QCbioE_00015886_00016196,3.1000625, Nobita hợp thể với bồ câu sẽ ra con vậy,0.40853387583304146,ba hợp thể với bồ câu sẽ ra con,segments_16k/4EIG2QCbioE_00015886_00016196.wav
4EIG2QCbioE_00043048_00043238,1.9, Thì không thể nào trở thành người được đâu,0.4010349922795884,chị không thể nào trở thành người được đâu,segments_16k/4EIG2QCbioE_00043048_00043238.wav
4EIG2QCbioE_00075804_00076032,2.28, Con tàu này sẽ thay đổi kích thước của nó,0.38062078260624427,con tàu này sẽ thay đổi kích thước của nó,segments_16k/4EIG2QCbioE_00075804_00076032.wav
4EIG2QCbioE_00077666_00077960,2.94, Cho nên nó có thể đi đến bất cứ nơi nào,0.407348156883097,cho nên á nó có thể đi đến bất cứ nơi nào,segments_16k/4EIG2QCbioE_00077666_00077960.wav
4EIG2QCbioE_00094532_00094730,1.98, Nhưng mà chúng ta đang ở dưới đáy miệng mà,0.4231098515291827,nhưng mà chúng ta đang ở dưới đây biện,segments_16k/4EIG2QCbioE_00094532_00094730.wav
4EIG2QCbioE_00094730_00094862,1.32, Sẽ không làm gì được đâu,0.4115173967597437,sẽ không làm gì được,segments_16k/4EIG2QCbioE_00094730_00094862.wav
4EIG2QCbioE_00116080_00116392,3.12, Chỉ cần có cánh cửa thần kỳ thì chúng ta muốn đi đâu cũng được hết,0.41029443057679094,chỉ cần có cánh cửa thần kỳ thì chúng ta muốn đi đâu cũng được hết,segments_16k/4EIG2QCbioE_00116080_00116392.wav
4EIG2QCbioE_00134098_00134352,2.54, Thôi mà đừng đứng đó tức giận nữa Nobita,0.3817004757996044,thôi mà đừng đứng đó tức giận nữa,segments_16k/4EIG2QCbioE_00134098_00134352.wav
4EIG2QCbioE_00134516_00134662,1.46, Đừng có giận nữa,0.4524830337729164,anh đừng có giận nữa,segments_16k/4EIG2QCbioE_00134516_00134662.wav
4EIG2QCbioE_00137152_00137312,1.6, Nước biển không lọt vào được đâu,0.46363562181994666,nước biển không lọt vào được đâu,segments_16k/4EIG2QCbioE_00137152_00137312.wav
4EIG2QCbioE_00145304_00145550,2.46, Hay là cậu đừng nhảy ra nước nữa được không,0.4192541567825804,hay là cậu đừng nhảy ra nước nữa được không,segments_16k/4EIG2QCbioE_00145304_00145550.wav
4EIG2QCbioE_00146632_00146912,2.8, Wow tấm này nhìn y chang như cậu đang lặn luôn,0.3720556275314702,qua tâm này nhìn y chang như cậu đang lặng luôn,segments_16k/4EIG2QCbioE_00146632_00146912.wav
4EIG2QCbioE_00146976_00147184,2.08, Nobita hình này mình chụp cậu rất đẹp,0.3877481910367045,vi ta hình này mình chụp câu rất đẹp,segments_16k/4EIG2QCbioE_00146976_00147184.wav
